date,confirmed,deaths,recovered,new_confirmed
2020-03-01,36,0,8,13
2020-03-02,40,0,8,4
2020-03-03,51,0,8,11
2020-03-04,86,0,8,35
2020-03-05,116,1,8,30
2020-03-06,164,2,8,48
2020-03-07,207,2,18,43
2020-03-08,274,3,18,67
2020-03-09,322,4,18,48
2020-03-10,384,6,19,62
2020-03-11,459,8,19,75
2020-03-12,459,8,19,0
2020-03-13,802,8,19,343
2020-03-14,1144,21,19,342
2020-03-15,1145,21,19,1
2020-03-16,1551,56,21,406
2020-03-17,1960,56,53,409
2020-03-18,2642,72,67,682
2020-03-19,2716,138,67,74
2020-03-20,4014,178,67,1298
2020-03-21,5067,234,67,1053
2020-03-22,5745,282,67,678
2020-03-23,6726,336,67,981
2020-03-24,8164,423,140,1438
2020-03-25,9640,466,140,1476
2020-03-26,11812,580,150,2172
2020-03-27,14745,761,151,2933
2020-03-28,17312,1021,151,2567
2020-03-29,19780,1231,151,2468
